epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.8827,1.86847,5.6151,1.39112,0.00239,0.33333,0.00162,0.00072,1.46753,5.28771,1.63147,3.334e-05,3.334e-05,3.334e-05
2,17.5201,1.56923,5.3001,1.18056,0.00243,0.33333,0.00295,0.00184,1.42209,4.87044,1.14329,8.25248e-05,8.25248e-05,8.25248e-05
3,20.5155,1.18105,4.56831,0.97284,0.00477,0.66667,0.00548,0.00419,1.03482,4.39774,0.85313,0.000130719,0.000130719,0.000130719
4,23.4777,1.25232,4.21338,0.92676,0.00409,0.5,0.08638,0.07246,0.80173,4.26964,0.79173,0.000177924,0.000177924,0.000177924
5,26.6592,1.13357,3.49023,0.89302,0.0043,0.5,0.2211,0.13616,0.88,4.24984,0.80514,0.000224138,0.000224138,0.000224138
6,29.8623,1.25219,2.89085,0.88471,0.00416,0.5,0.18858,0.11778,0.86858,4.35292,0.81126,0.000269362,0.000269362,0.000269362
7,33.0031,1.17686,2.33478,0.92441,0.00392,0.5,0.20037,0.09195,0.95092,4.34267,0.82069,0.000313596,0.000313596,0.000313596
8,36.052,1.25045,2.10994,0.90867,0.00391,0.5,0.22423,0.10137,0.98022,4.43362,0.8278,0.00035684,0.00035684,0.00035684
9,39.6271,1.14014,2.32362,0.92296,0.00364,0.5,0.25578,0.11676,0.97983,4.62315,0.88344,0.000399093,0.000399093,0.000399093
10,42.7053,1.17572,1.99757,0.92054,0.00354,0.5,0.28376,0.09525,1.1828,4.58357,1.01663,0.000440356,0.000440356,0.000440356
11,45.8714,1.0155,1.85083,0.88326,0.00219,0.33333,0.01949,0.01134,1.18505,4.66264,1.1019,0.000480629,0.000480629,0.000480629
12,49.011,1.08446,1.96499,0.87577,0.0022,0.33333,0.02178,0.01905,1.01541,4.75525,1.0173,0.000519912,0.000519912,0.000519912
